Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event,Rider_normalized,Race Title,Conditions,Temperature,Track Conditions,Humidity,Ground Temp,Avg_Position_Last3,Podiums_Last5,Points_Streak,circuit_file,file,length_km,width_m,right corners,left corners,Race_Number_Season,Rider_Experience,Points_numeric,Season_Points_So_Far,Championship_Position,Team_Avg_Position,Difficult_Conditions,Rider_Circuit_Avg,Podio
10,ND,N. AbeN. Abe,,+29.159,Event ger,2003.0,ger,Aben,Event ger,,,,,,9.666666666666666,0.0,19.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,6,2.0,0.0,0.0,1.0,,0,6.0,0
9,ND,N. AbeN. Abe,,+40.229,Event hun,2003.0,hun,Aben,Event hun,,,,,,10.0,0.0,20.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,7,2.0,0.0,0.0,1.0,,0,10.0,0
9,ND,N. AbeN. Abe,,+40.229,Event qat,2003.0,qat,Aben,Event qat,,,,,,10.0,0.0,21.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,8,2.0,0.0,0.0,1.0,,0,10.0,0
9,ND,N. AbeN. Abe,,+40.229,Event tha,2003.0,tha,Aben,Event tha,,,,,,9.333333333333334,0.0,22.0,,,,,,,9,2.0,0.0,0.0,1.0,,0,10.0,0
9,ND,N. AbeN. Abe,,+40.229,Event usa,2003.0,usa,Aben,Event usa,,,,,,9.0,0.0,23.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,10,2.0,0.0,0.0,1.0,,0,10.0,0
10,ND,N. AbeN. Abe,,+31.537,Event ara,2004.0,ara,Aben,Event ara,,,,,,9.0,0.0,24.0,,,,,,,1,3.0,0.0,0.0,1.0,,0,9.5,0
10,ND,N. AbeN. Abe,,+31.537,Event arg,2004.0,arg,Aben,Event arg,,,,,,9.333333333333334,0.0,25.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,3.0,0.0,0.0,1.0,,0,9.5,0
10,ND,N. AbeN. Abe,,+31.537,Event aut,2004.0,aut,Aben,Event aut,,,,,,9.666666666666666,0.0,26.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,3.0,0.0,0.0,1.0,,0,9.5,0
8,ND,N. AbeN. Abe,,+31.079,Event cze,2004.0,cze,Aben,Event cze,,,,,,10.0,0.0,27.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,4,3.0,0.0,0.0,1.0,,0,8.0,0
10,ND,N. AbeN. Abe,,+31.537,Event esp,2004.0,esp,Aben,Event esp,,,,,,9.333333333333334,0.0,28.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,5,3.0,0.0,0.0,1.0,,0,9.5,0
10,ND,N. AbeN. Abe,,+31.537,Event hun,2004.0,hun,Aben,Event hun,,,,,,,0.0,32.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,9,3.0,0.0,0.0,1.0,,0,9.5,0
7,ND,N. AbeN. Abe,,+5.842,Event ita,2004.0,ita,Aben,Event ita,,,,,,10.0,0.0,33.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,10,3.0,0.0,0.0,1.0,,0,7.0,0
11,ND,N. AbeN. Abe,,+34.414,Event ned,2004.0,ned,Aben,Event ned,,,,,,8.5,0.0,34.0,,,,,,,11,3.0,0.0,0.0,1.0,,0,9.0,0
7,ND,N. AbeN. Abe,,+53.373,Event qat,2004.0,qat,Aben,Event qat,,,,,,9.333333333333334,0.0,35.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,12,3.0,0.0,0.0,1.0,,0,9.5,0
10,ND,N. AbeN. Abe,,+31.537,Event tha,2004.0,tha,Aben,Event tha,,,,,,8.333333333333334,0.0,36.0,,,,,,,13,3.0,0.0,0.0,1.0,,0,9.5,0
10,ND,N. AbeN. Abe,,+31.537,Event usa,2004.0,usa,Aben,Event usa,,,,,,9.333333333333334,0.0,37.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,14,3.0,0.0,0.0,1.0,,0,9.5,0
15,1,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+37.639,Event ara,2018.0,ara,Abrahamangel,Event ara,Clear,30º,Dry,36%,45º,,,0.0,,,,,,,1,1.0,1.0,1.0,1.0,15.0,0,,0
21,ND,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+53.261,Event aut,2018.0,aut,Abrahamangel,,,,,,,15.0,0.0,0.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,2,1.0,0.0,1.0,1.0,15.5,0,,0
18,ND,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+41.172,Event cze,2018.0,cze,Abrahamangel,Event cze,Cloudy,28º,Dry,44%,41º,18.0,0.0,0.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,3,1.0,0.0,1.0,1.0,13.5,0,,0
14,2,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+61.718,Event esp,2018.0,esp,Abrahamangel,Event esp,Raining,14º,Wet,96%,14º,18.0,0.0,1.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,4,1.0,2.0,3.0,1.0,10.5,0,,0
17,ND,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+56.872,Event fra,2018.0,fra,Abrahamangel,Event fra,Clear,24º,Dry,41%,45º,17.666666666666668,0.0,0.0,,,,,,,5,1.0,0.0,3.0,1.0,17.0,0,,0
18,ND,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+61.022,Event ger,2018.0,ger,Abrahamangel,Event ger,Partly Cloudy,27º,Dry,48%,48º,16.333333333333332,0.0,0.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,6,1.0,0.0,3.0,1.0,11.5,0,,0
14,2,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+61.718,Event hun,2018.0,hun,Abrahamangel,Event hun,Raining,14º,Wet,96%,14º,16.333333333333332,0.0,1.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,7,1.0,2.0,5.0,1.0,10.5,0,,0
15,1,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+23.287,Event qat,2018.0,qat,Abrahamangel,Event qat,Clear,21º,Dry,46%,23º,16.0,0.0,3.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,9,1.0,1.0,6.0,1.0,14.0,0,,0
17,ND,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+32.507,Event tha,2018.0,tha,Abrahamangel,Event tha,Clear,32º,Dry,46%,49º,14.5,0.0,0.0,,,,,,,10,1.0,0.0,6.0,1.0,12.5,0,,0
14,2,17K. Abraham17K. AbrahamAngel Nieto Team,Angel Nieto Team,+61.718,Event usa,2018.0,usa,Abrahamangel,Event usa,Raining,14º,Wet,96%,14º,16.0,0.0,1.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,11,1.0,2.0,8.0,1.0,10.5,0,,0
8,8,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+37.952,Event arg,2011.0,arg,Abrahamcardion,Event arg,Raining,17º,Wet,49%,16º,,,1.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,1.0,8.0,8.0,1.0,8.0,0,,0
8,8,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+37.952,Event aut,2011.0,aut,Abrahamcardion,Event aut,Raining,17º,Wet,49%,16º,8.0,0.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,1.0,8.0,16.0,1.0,8.0,0,,0
8,8,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+37.952,Event esp,2011.0,esp,Abrahamcardion,Event esp,Raining,17º,Wet,49%,16º,8.0,0.0,4.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,5,1.0,8.0,24.0,1.0,8.0,0,,0
10,6,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+63.885,Event fra,2011.0,fra,Abrahamcardion,,,,,,,8.0,0.0,5.0,,,,,,,6,1.0,6.0,30.0,1.0,10.0,0,,0
7,9,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+92.650,Event gbr,2011.0,gbr,Abrahamcardion,Event gbr,Raining,11º,Wet,85%,10º,9.0,0.0,6.0,,,,,,,7,1.0,9.0,39.0,1.0,7.0,0,,0
12,4,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+39.148,Event ger,2011.0,ger,Abrahamcardion,Event ger,Cloudy,21º,Dry,49%,29º,8.333333333333334,0.0,7.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,8,1.0,4.0,43.0,1.0,12.0,0,,0
8,8,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+37.952,Event hun,2011.0,hun,Abrahamcardion,,,,,,,9.666666666666666,0.0,8.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,9,1.0,8.0,51.0,1.0,8.0,0,,0
12,4,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+43.964,Event ita,2011.0,ita,Abrahamcardion,,,,,,,9.0,0.0,9.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,10,1.0,4.0,55.0,1.0,12.0,0,,0
8,8,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+37.952,Event tha,2011.0,tha,Abrahamcardion,Event tha,Raining,17º,Wet,49%,16º,10.0,0.0,11.0,,,,,,,12,1.0,8.0,63.0,1.0,8.0,0,,0
11,5,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+69.132,Event usa,2011.0,usa,Abrahamcardion,,,,,,,10.0,0.0,12.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,13,1.0,5.0,68.0,1.0,11.0,0,,0
9,7,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+57.417,Event ara,2012.0,ara,Abrahamcardion,,,,,,,9.5,0.0,13.0,,,,,,,1,2.0,7.0,7.0,1.0,9.0,0,,0
7,9,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+91.789,Event arg,2012.0,arg,Abrahamcardion,Event arg,Cloudy,13º,Wet,81%,15º,9.333333333333334,0.0,14.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,2.0,9.0,16.0,1.0,7.0,0,8.0,0
7,9,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+91.789,Event aut,2012.0,aut,Abrahamcardion,Event aut,Cloudy,13º,Wet,81%,15º,9.0,0.0,15.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,2.0,9.0,25.0,1.0,7.0,0,8.0,0
9,7,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+68.278,Event cze,2012.0,cze,Abrahamcardion,,,,,,,7.666666666666667,0.0,16.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,4,2.0,7.0,32.0,1.0,9.0,0,,0
7,9,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+91.789,Event esp,2012.0,esp,Abrahamcardion,Event esp,Cloudy,13º,Wet,81%,15º,7.666666666666667,0.0,17.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,5,2.0,9.0,41.0,1.0,7.0,0,8.0,0
7,9,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+91.789,Event hun,2012.0,hun,Abrahamcardion,Event hun,Cloudy,13º,Wet,81%,15º,8.0,0.0,19.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,7,2.0,9.0,50.0,1.0,7.0,0,8.0,0
7,9,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+91.789,Event tha,2012.0,tha,Abrahamcardion,Event tha,Cloudy,13º,Wet,81%,15º,7.0,0.0,22.0,,,,,,,10,2.0,9.0,59.0,1.0,7.0,0,8.0,0
10,6,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+82.076,Event usa,2012.0,usa,Abrahamcardion,Event usa,Sunny,18º,Dry,65%,24º,7.0,0.0,23.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,11,2.0,6.0,65.0,1.0,10.0,0,11.0,0
19,ND,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+109.713,Event cze,2013.0,cze,Abrahamcardion,Event cze,Cloudy,17º,Dry,70%,23º,8.5,0.0,0.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,1,3.0,0.0,0.0,1.0,19.0,0,9.0,0
15,1,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+85.738,Event ita,2013.0,ita,Abrahamcardion,Event ita,Partly Cloudy,21º,Dry,62%,42º,12.0,0.0,1.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,2,3.0,1.0,1.0,1.0,15.0,0,12.0,0
15,1,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+64.426,Event ned,2013.0,ned,Abrahamcardion,Event ned,Clear,18º,Dry,49%,18º,14.666666666666666,0.0,2.0,,,,,,,3,3.0,1.0,2.0,1.0,15.0,0,,0
14,2,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+0.000,Event usa,2013.0,usa,Abrahamcardion,Event usa,Clear,23º,Dry,48%,49º,16.333333333333332,0.0,3.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,4,3.0,2.0,4.0,1.0,14.0,0,10.5,0
13,3,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+45.178,Event arg,2014.0,arg,Abrahamcardion,Event arg,Partly Cloudy,24º,Dry,60%,37º,14.5,0.0,5.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,4.0,3.0,3.0,1.0,13.0,0,7.5,0
17,ND,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+62.389,Event aut,2014.0,aut,Abrahamcardion,Event aut,Partly Cloudy,18º,Dry,45%,22º,13.5,0.0,0.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,4.0,0.0,3.0,1.0,17.0,0,7.5,0
17,ND,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+62.389,Event esp,2014.0,esp,Abrahamcardion,Event esp,Partly Cloudy,18º,Dry,45%,22º,15.0,0.0,0.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,4,4.0,0.0,3.0,1.0,17.0,0,7.5,0
13,3,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+52.245,Event gbr,2014.0,gbr,Abrahamcardion,Event gbr,Partly Cloudy,18º,Dry,67%,29º,15.666666666666666,0.0,1.0,,,,,,,5,4.0,3.0,6.0,1.0,13.0,0,7.0,0
13,3,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+45.177,Event ger,2014.0,ger,Abrahamcardion,Event ger,Cloudy,21º,Wet-Dry,66%,27º,15.666666666666666,0.0,2.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,6,4.0,3.0,9.0,1.0,13.0,0,12.0,0
17,ND,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+62.389,Event hun,2014.0,hun,Abrahamcardion,Event hun,Partly Cloudy,18º,Dry,45%,22º,14.333333333333334,0.0,0.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,7,4.0,0.0,9.0,1.0,17.0,0,7.5,0
12,4,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+45.831,Event ita,2014.0,ita,Abrahamcardion,Event ita,Partly Cloudy,26º,Dry,22%,45º,14.333333333333334,0.0,1.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,8,4.0,4.0,13.0,1.0,12.0,0,13.5,0
14,2,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+65.980,Event ned,2014.0,ned,Abrahamcardion,Event ned,Cloudy,19º,Wet,69%,25º,14.0,0.0,2.0,,,,,,,9,4.0,2.0,15.0,1.0,14.0,0,15.0,0
13,3,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+50.581,Event qat,2014.0,qat,Abrahamcardion,,,,,,,14.333333333333334,0.0,3.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,10,4.0,3.0,18.0,1.0,13.0,0,,0
17,ND,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+62.389,Event tha,2014.0,tha,Abrahamcardion,Event tha,Partly Cloudy,18º,Dry,45%,22º,13.0,0.0,0.0,,,,,,,11,4.0,0.0,18.0,1.0,17.0,0,7.5,0
17,ND,17K. Abraham17K. AbrahamCardion AB Motoracing,Cardion AB Motoracing,+62.389,Event usa,2014.0,usa,Abrahamcardion,Event usa,Partly Cloudy,18º,Dry,45%,22º,14.666666666666666,0.0,0.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,12,4.0,0.0,18.0,1.0,17.0,0,11.666666666666666,0
10,6,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+26.403,Event arg,2017.0,arg,Abrahampull,Event arg,Cloudy,20º,Dry,60%,25º,,,1.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,1.0,6.0,6.0,1.0,7.0,0,,0
14,2,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+27.321,Event aut,2017.0,aut,Abrahampull,,,,,,,10.0,0.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,1.0,2.0,8.0,1.0,11.0,0,,0
14,2,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+41.988,Event esp,2017.0,esp,Abrahampull,Event esp,Clear,25º,Dry,22%,26º,12.0,0.0,3.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,4,1.0,2.0,10.0,1.0,14.0,0,,0
13,3,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+31.945,Event gbr,2017.0,gbr,Abrahampull,Event gbr,Clear,25º,Dry,36%,40º,14.0,0.0,5.0,,,,,,,6,1.0,3.0,13.0,1.0,11.5,0,,0
17,ND,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+39.323,Event ger,2017.0,ger,Abrahampull,,,,,,,13.5,0.0,0.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,7,1.0,0.0,13.0,1.0,11.5,0,,0
14,2,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+41.988,Event hun,2017.0,hun,Abrahampull,,,,,,,15.0,0.0,1.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,8,1.0,2.0,15.0,1.0,14.0,0,,0
16,ND,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+42.306,Event ita,2017.0,ita,Abrahampull,Event ita,Partly Cloudy,25º,Dry,58%,42º,14.666666666666666,0.0,0.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,9,1.0,0.0,15.0,1.0,10.5,0,,0
7,9,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+36.982,Event ned,2017.0,ned,Abrahampull,Event ned,Cloudy,18º,Wet,76%,25º,15.666666666666666,0.0,1.0,,,,,,,10,1.0,9.0,24.0,1.0,7.0,0,,0
14,2,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+41.988,Event tha,2017.0,tha,Abrahampull,Event tha,Clear,25º,Dry,22%,26º,12.333333333333334,0.0,2.0,,,,,,,11,1.0,2.0,26.0,1.0,14.0,0,,0
14,2,17K. Abraham17K. AbrahamPull&Bear Aspar Team,Pull&Bear Aspar Team,+41.988,Event usa,2017.0,usa,Abrahampull,Event usa,Clear,25º,Dry,22%,26º,12.333333333333334,0.0,3.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,12,1.0,2.0,28.0,1.0,14.0,0,,0
18,ND,17K. Abraham17K. AbrahamReale Avintia Racing,Reale Avintia Racing,+43.880,Event ara,2019.0,ara,Abrahamreale,Event ara,Partly Cloudy,27º,Dry,46%,32º,,,0.0,,,,,,,1,1.0,0.0,0.0,1.0,16.5,0,,0
15,1,17K. Abraham17K. AbrahamReale Avintia Racing,Reale Avintia Racing,+48.109,Event aut,2019.0,aut,Abrahamreale,Event aut,Partly Cloudy,23º,Dry,70%,32º,18.0,0.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,1.0,1.0,1.0,1.0,15.0,0,,0
19,ND,17K. Abraham17K. AbrahamReale Avintia Racing,Reale Avintia Racing,+44.296,Event cze,2019.0,cze,Abrahamreale,Event cze,Partly Cloudy,23º,Wet,43%,28º,16.5,0.0,0.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,4,1.0,0.0,1.0,1.0,17.5,0,,0
14,2,17K. Abraham17K. AbrahamReale Avintia Racing,Reale Avintia Racing,+64.871,Event esp,2019.0,esp,Abrahamreale,Event esp,Partly Cloudy,15º,Dry,44%,16º,17.0,0.0,1.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,5,1.0,2.0,3.0,1.0,12.5,0,,0
15,1,17K. Abraham17K. AbrahamReale Avintia Racing,Reale Avintia Racing,+89.282,Event gbr,2019.0,gbr,Abrahamreale,Event gbr,Partly Cloudy,31º,Dry,27%,44º,16.5,0.0,3.0,,,,,,,7,1.0,1.0,4.0,1.0,15.5,0,,0
